lead_id,toponym,geomatch,geonameid
304,central mediterranean,mediterranean,
304,mediterranean,mediterranean,
304,eritrea,eritrea,338010
304,ethiopia,ethiopia,337996
304,italy,italy,3175395
304,libya,libya,2215636
304,malian,malian,-1
304,misrata,misrata,2214846
304,niger,niger,2440476
304,palestine,palestine,6254930
304,somalia,somalia,51537
304,sudan,sudan,366755
304,syria,syria,163843
304,tripoli,tripoli,2210247
304,the mediterranean sea,mediterranean sea,363196
1258,bani walid,bani walid,2218840
1258,italy,italy,3175395
1258,libya,libya,2215636
1258,misrata,misrata,2214846
1258,murzuq,murzuq,2214603
1258,niger,niger,2440476
1258,romania,romania,798549
1258,sabha,sabha,2212775
1258,tripoli,tripoli,2210247
1258,ubari,ubari,2219235
1258,tajoura detention centre,detention,
1258,nafusa mountains,nafusa mountains,10338121
1258,the nafusa mountains,nafusa mountains,10338121
2673,ain mara,ain mara,88498
2673,al bayda,al bayda,
2673,al fatayih,al fatayih,7865308
2673,al fatayih al jadeeda,al fatayih,7865308
2673,benghazi,benghazi,88319
2673,derna,derna,87205
2673,derna city,derna,87205
2673,western derna,derna,87205
2673,dhar al hamr,dhar,
2673,dhar al hamr,al hamr,
2673,hay al salam,al salam,
2673,hay al salam,hay,
2673,libya,libya,2215636
2673,martuba,martuba,85074
2673,martuba checkpoint,martuba,85074
2673,sahel alsharki,sahel,
2673,saida khadija,saida,
2673,tobruk,tobruk,81302
2673,corsah (kirsa) checkpoint,kirsa,
2673,western derna,western,
2913,aden,aden,415189
2913,aden hub,aden,415189
2913,al garrahi,al garrahi,6940727
2913,al garrahi district,al garrahi,6940727
2913,al haymah,al haymah,406130
2913,al hudaydah,al hudaydah,79415
2913,al hudaydah city,al hudaydah,79415
2913,al hudaydah districts,al hudaydah,79415
2913,al mighlaf,al mighlaf,78823
2913,al turba,turba,77648
2913,at tuhayat,at tuhayat,6940734
2913,at tuhayat district,at tuhayat,6940734
2913,bayt al faqiah,bayt,7360865
2913,hadibo,hadibo,75427
2913,mukalla,mukalla,78754
2913,socotra,socotra,9645387
2913,sukhnah,sukhnah,401672
2913,taizz,taizz,70225
2913,taizz city,taizz,70225
2913,taizz governorate,taizz,70225
2913,zabid district,zabid,69500
2913,zabid,zabid,69500
2913,abyan governorate,abyan,
2913,ad durayhimi district,ad durayhimi,80309
2913,al hudaydah governorate,al hudaydah governorate,79416
2913,al khawkhah district,al khawkhah,79131
2913,bait al faqiah district,bait,
2913,hajdah hospital,hajdah,75343
2913,hays district,hays district,
2913,lahj governorate,lahj,73560
2913,maqbanah district,maqbanah,407716
2913,mawza district,mawza,6940693
2913,socotra island,socotra island,70302
2965,al hudaydah,al hudaydah,79415
2965,al hudaydah city,al hudaydah,79415
2965,abyan,abyan,
2965,abyan governorate,abyan,
2965,aden,aden,80412
2965,abs district,abs,70357
2965,al had districts,al had,6940831
2965,al hudaydah governorate,al hudaydah governorate,79416
2965,taizz governorate,taizz,70225
2965,al khawkhah district,al khawkhah,79131
2965,hays district,hays district,
2965,khanfir,khanfir,6940654
2965,lahj,lahj,73560
2965,lahj governorate,lahj,73560
2965,lawdar,lawdar,73504
2965,shabwah,shabwah,70935
2965,tuban,tuban,6940623
2965,yemen,yemen,69543
2965,zingibar,zingibar,6940656
7185,belgium,belgium,2802361
7185,canada,canada,6251999
7185,etc romania,romania,798549
7185,romania,romania,798549
7185,etc romania,etc,
7185,finland,finland,660013
7185,france,france,3017382
7185,germany,germany,2921044
7185,italy,italy,3175395
7185,libya,libya,2215636
7185,niger,niger,2440476
7185,netherlands,netherlands,2750405
7185,norway,norway,3144096
7185,sweden,sweden,2661886
7185,switzerland,switzerland,2658434
7185,united kingdom,united kingdom,2635167
7185,the united kingdom,united kingdom,2635167
10422,beira,beira,1052373
10422,cabo delgado,cabo delgado,1051823
10422,dondo,dondo,1024696
10422,maganja da costa,maganja da costa,7874711
10422,manica,manica,1040947
10422,molumbo,molumbo,10702916
10422,morrumbala,morrumbala,1037044
10422,mozambique,mozambique,1036973
10422,muanza,muanza,1036687
10422,namacurra,namacurra,1034311
10422,nhamatanda,nhamatanda,7873984
10422,niassa,niassa,1030006
10422,nicoadala,nicoadala,7873988
10422,quelimane,quelimane,1028434
10422,sofala,sofala,1026804
10422,tete,tete,1026010
10422,zambezia,zambezia,1024312
10422,buzi basin,buzi,1029538
10422,buzi river basin,buzi river,1051851
10422,buzi river basin,river basin,
10422,pungoe river basin,river basin,
10422,caia district,caia district,7874046
10422,licungo basin,licungo,1043830
10422,marromeu district,marromeu,1040397
10422,mozambique channel,mozambique channel,
10422,sofala province,sofala province,1026804
10422,zambezi basin,zambezi,1024312
10422,the zambezi basin,zambezi,1024312
10422,zambeze basin,zambeze,1037109
10422,zambeze region,zambeze,1037109
13630,abu salim,abu salim,2220399
13630,ain zara,ain zara,2219021
13630,khallat farjan,khallat farjan,2215961
13630,qasr bin ghasheer dc,bin,
13630,"Qasr Bin Ghasheer, Abusliem, Triq al Sika, Al Sabaa, Tajoura, Janzour and Gharyan DCs",bin,
13630,qasr bin ghasheer dc,dc,
13630,the gahryan dc,dc,
13630,the gharyan dc,dc,
13630,qasr bin ghasheer dc,qasr,
13630,"Qasr Bin Ghasheer, Abusliem, Triq al Sika, Al Sabaa, Tajoura, Janzour and Gharyan DCs",qasr,
13630,"Qasr Bin Ghasheer, Abusliem, Triq al Sika, Al Sabaa, Tajoura, Janzour and Gharyan DCs",sika,
13630,"Qasr Bin Ghasheer, Abusliem, Triq al Sika, Al Sabaa, Tajoura, Janzour and Gharyan DCs",dcs,
13630,"Qasr Bin Ghasheer, Abusliem, Triq al Sika, Al Sabaa, Tajoura, Janzour and Gharyan DCs",gharyan,2217362
13630,the gharyan dc,gharyan,2217362
13630,"Qasr Bin Ghasheer, Abusliem, Triq al Sika, Al Sabaa, Tajoura, Janzour and Gharyan DCs",sabaa,
13630,tripoli,tripoli,2210247
13630,central tripoli,tripoli,2210247
13630,tripoli airport,tripoli airport,6297332
13630,tripoli international airport,tripoli international airport,6297332
13630,wadi alrabie,wadi,
14246,belgium,belgium,2802361
14246,canada,canada,6251999
14246,etc romania,romania,798549
